Vendor_State,Population
CALIFORNIA,39029342
TEXAS,30029572
FLORIDA,22244823
NEW YORK,19677151
PENNSYLVANIA,12972008
ILLINOIS,12582032
OHIO,11756058
GEORGIA,10912876
NORTH CAROLINA,10698973
MICHIGAN,10034113
NEW JERSEY,9261699
VIRGINIA,8683619
WASHINGTON,7785786
ARIZONA,7359197
TENNESSEE,7051339
MASSACHUSETTS,6981974
INDIANA,6833037
MISSOURI,6177957
MARYLAND,6164660
WISCONSIN,5892539
COLORADO,5839926
MINNESOTA,5717184
SOUTH CAROLINA,5282634
ALABAMA,5074296
LOUISIANA,4590241
KENTUCKY,4512310
OREGON,4240137
OKLAHOMA,4019800
CONNECTICUT,3626205
UTAH,3380800
IOWA,3200517
NEVADA,3177772
ARKANSAS,3045637
MISSISSIPPI,2940057
KANSAS,2937150
NEW MEXICO,2113344
NEBRASKA,1967923
IDAHO,1939033
WEST VIRGINIA,1775156
HAWAII,1440196
NEW HAMPSHIRE,1395231
MAINE,1385340
MONTANA,1122867
RHODE ISLAND,1093734
DELAWARE,1018396
SOUTH DAKOTA,909824
NORTH DAKOTA,779261
ALASKA,733583
DISTRICT OF COLUMBIA,671803
VERMONT,647064
WYOMING,581381
